"","Date_Time","Species","Ind","Rec","TRJ","Exp","Session","GS","Sex","ExT","Traj_num","T","RH","c","ta_mic","t_emit","Raw_X","Raw_Y","Raw_Z","Int01_X","Int01_Y","Int01_Z","Int01_angle2mic","Int01_speed","Int01_vel2mic","dur_Th12","dur_E12","FS_Th12","FS_E12","F_MAmp_Th12","F_MAmp_E12","PF_Th12","PF_E12","FE_Th12","FE_E12","LF12_Th12","LF12_E12","HF12_Th12","HF12_E12","peSL_dB_Th12","peSL_dB_E12","rmsSL_Th12","rmsSL_E12","SNR_Th12","SNR_E12","rmsSL_Th12_10cm","rmsSL_E12_10cm","E1","E2","BW","Harmonic","Q_0.75","Q_0.9","PC","Mean_dur_E12","Mean_PF_E12","Mean_LF12_E12","Mean_rmsSL_E12","AAFp","AAmeanFp","AALoF12","AAmeanLoF12","RHfix","thrDur2","avrgDD","realDD2","realDD","frqDD","rmsDD","durDD","TG"
"1",2019-04-09 22:54:48,"M.oxyotus","001","2","1","1","2019-04-09_001","M.oxyotus","H","20","2",19.8,98,344.7,2.3786,2.3731,0.14,1.37,2.45,0.14,1.37,2.45,45.13,3.14,2.21,2.1,1.5,95.46,83.25,70.83,70.83,54,54.5,47.98,50.48,45250,46000,89750,86250,87.8,87.8,82.8,83.8,22.3,23.32,102.8,103.8,106.022192947339,105.560912590557,40.25,"1st",102.925,103.45,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.90769056109475,-1.88085728331877,-1.4597062659536,-1.45419535825361,"real",20.7058823529412,0.74,0.59,0.61,0.74,0.61,0.71,30
"5",2019-04-09 22:54:48,"M.oxyotus","001","2","2","1","2019-04-09_001","M.oxyotus","H","20","2",19.8,98,344.7,6.2468,6.2426,0.27,0.76,2.36,0.27,0.76,2.36,46.04,3.21,2.22,1.8,1.4,89.25,81.18,53.91,53.91,53.5,53.75,48.75,50.77,45500,46000,86750,81750,88.1,88.1,82.3,83,22.3,23.32,102.3,103,104.852725051033,104.461280356782,35.75,"1st",102.925,102.97,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.86745884168068,-1.88085728331877,-1.4597062659536,-1.45419535825361,"real",21.0588235294118,0.74,0.55,0.58,0.74,0.58,0.7,30
"7",2019-04-09 22:55:01,"M.oxyotus","001","3","1","1","2019-04-09_001","M.oxyotus","H","20","1",19.8,98,344.7,2.4686,2.4616,-0.56,1.99,2.41,-0.56,1.99,2.41,29.34,2.64,2.3,2.6,1.9,99.35,86.18,81.62,81.62,54.5,54.5,54.71,99.77,46000,46250,120500,120500,96.2,96.2,90.5,91.5,29.32,30.42,110.5,111.5,114.649733479708,114.287536009528,74.25,"1st",105.025,108.45,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.90769056109475,-1.88085728331877,-1.47258093018499,-1.45419535825361,"real",19.2941176470588,0.74,0.92,0.89,0.74,0.89,0.76,30
"13",2019-04-09 22:55:12,"M.oxyotus","001","4","1","1","2019-04-09_001","M.oxyotus","H","20","3",19.8,98,344.7,7.524,7.5157,1.36,2.42,1.86,1.36,2.42,1.86,31.1,3.51,3.01,2.6,2,100.1,86.79,80,80,53.25,53.5,98.23,50.77,45250,45750,115500,115750,95.4,95.4,89.7,90.5,17.84,18.29,109.7,110.5,113.849733479708,113.51029995664,70,"1st",108.7,109.78,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.85407286697652,-1.88085728331877,-1.44685390608063,-1.45419535825361,"real",18.9411764705882,0.74,0.9,0.85,0.74,0.85,0.78,30
"16",2019-04-09 22:55:12,"M.oxyotus","001","4","2","1","2019-04-09_001","M.oxyotus","H","20","3",19.8,98,344.7,3.3803,3.3713,1.46,2.59,1.91,1.46,2.59,1.91,27.8,3.38,3,2.5,1.8,99.09,84.45,80.31,80.31,53.75,54,97.27,99.49,45250,45500,114250,114000,93.9,93.9,88.8,89.7,17.84,18.29,108.8,109.7,112.77940008672,112.252725051033,68.5,"1st",109.6,109.66,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.88085728331877,-1.88085728331877,-1.43402423508336,-1.45419535825361,"real",19.6470588235294,0.74,0.83,0.82,0.74,0.82,0.75,30
"19",2019-04-09 22:55:12,"M.oxyotus","001","4","3","1","2019-04-09_001","M.oxyotus","H","20","3",19.8,98,344.7,0.103,0.0992,0.23,0.68,2.26,0.23,0.68,2.26,53.32,3.57,2.13,1.8,1.4,87.33,80.86,71,71,53.5,53.75,48.21,51,45250,46000,120000,120500,89.5,89.5,84.1,84.6,17.84,18.29,104.1,104.6,106.652725051033,106.061280356782,74.5,"1st",104.175,104.43,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.86745884168068,-1.88085728331877,-1.4597062659536,-1.45419535825361,"real",21.0588235294118,0.74,0.6,0.63,0.74,0.63,0.7,30
"20",2019-04-09 22:55:21,"M.oxyotus","001","5","1","1","2019-04-09_001","M.oxyotus","H","20","1",19.8,98,344.7,0.3024,0.2934,1.61,2.47,2.03,1.61,2.47,2.03,22.74,3.37,3.1,2.5,1.9,99.1,86.4,80.7,80.7,54,54,96.94,58.46,45250,45750,120750,120750,95.2,95.2,89.5,90.3,29.02,30.05,109.5,110.3,113.47940008672,113.087536009528,75,"1st",109.55,110,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.88085728331877,-1.88085728331877,-1.44685390608063,-1.45419535825361,"real",19.2941176470588,0.74,0.87,0.84,0.74,0.84,0.76,30
"24",2019-04-09 23:02:59,"M.keaysi","002","1","1","1","2019-04-09_002","M.keaysi","M","20","4",19.9,98.9,344.8,3.4586,3.4494,0.03,3.15,1.34,0.03,3.15,1.34,12.66,2.97,2.9,2.2,1.5,117.5,100.15,82.42,82.42,74.5,74.5,60.5,62.47,56750,58750,114250,103750,103.5,103.5,96.4,97.4,24.58,25.61,116.4,117.4,119.824226808222,119.160912590557,45,"1st",115.95,116.75,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.0060302943082,-3.05563705688044,-2.13274994106902,-2.13026476004826,"real",19.6538461538462,0.95,1.07,1.06,0.95,1.05,0.96,30
"30",2019-04-09 23:02:59,"M.keaysi","002","1","2","1","2019-04-09_002","M.keaysi","M","20","4",19.9,98.9,344.8,4.6427,4.6392,0.91,0.04,1.89,0.91,0.04,1.89,43.28,1.79,1.31,1.6,1,116.97,99.82,81.25,81.25,81,81,61.5,65.46,59000,63000,112000,103500,100.2,100.2,93.2,94.6,24.58,25.61,113.2,114.6,115.241199826559,114.6,40.5,"1st",113.05,114.1,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.37051436088144,-3.05563705688044,-2.36629917536872,-2.13026476004826,"real",21.7692307692308,0.95,0.84,0.91,0.92,0.93,0.88,30
"37",2019-04-09 23:02:59,"M.keaysi","002","1","3","1","2019-04-09_002","M.keaysi","M","20","4",19.9,98.9,344.8,8.2393,8.2365,0.83,0.26,1.61,0.83,0.26,1.61,37.17,2.26,1.81,2,1.5,113.71,98.62,81.25,81.25,81.25,81.25,59.75,61.97,56250,57750,107000,103000,101.8,101.8,94.4,95.4,24.58,25.61,114.4,115.4,117.41029995664,117.160912590557,45.25,"1st",115.25,115.34,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.38456415020457,-3.05563705688044,-2.07814748422769,-2.13026476004826,"real",19.6538461538462,0.95,0.95,0.94,0.92,0.97,0.96,30
"40",2019-04-09 23:02:59,"M.keaysi","002","1","4","1","2019-04-09_002","M.keaysi","M","20","4",19.9,98.9,344.8,7.4123,7.4054,0.3,2.37,1.01,0.3,2.37,1.01,33.18,3.71,3.11,2.1,1.5,101.99,96,80.83,80.83,66.75,67.25,59.5,61.71,55750,57750,103000,99750,99.5,99.5,93.1,94.1,24.58,25.61,113.1,114.1,116.322192947339,115.860912590557,42,"1st",111.5,113.06,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-2.60169885338817,-3.05563705688044,-2.07814748422769,-2.13026476004826,"real",19.6538461538462,0.95,0.96,0.95,0.98,0.91,0.96,30
"45",2019-04-09 23:03:10,"M.keaysi","002","2","1","1","2019-04-09_002","M.keaysi","M","20","4",19.9,98.9,344.8,7.6215,7.6151,0.35,2.15,1.05,0.35,2.15,1.05,33.6,3.83,3.21,1.8,1.3,103.15,97,80.15,80.15,66.5,67,60.73,63.16,57250,58500,103500,100250,98.5,98.5,92.8,93.7,28.89,29.62,112.8,113.7,115.352725051033,114.839433523068,41.75,"1st",113.4,113.58,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-2.58781170410915,-3.05563705688044,-2.1190851979388,-2.13026476004826,"real",20.5,0.95,0.91,0.93,0.99,0.9,0.93,30
"48",2019-04-09 23:03:10,"M.keaysi","002","2","2","1","2019-04-09_002","M.keaysi","M","20","4",19.9,98.9,344.8,1.0917,1.0888,0.85,0.1,1.65,0.85,0.1,1.65,37.48,2.03,1.61,1.9,1.3,114.96,99.3,81.25,81.25,81.5,81.5,60.77,63.25,57500,59500,107500,103250,100.7,100.7,93.4,94.4,28.89,29.62,113.4,114.4,116.187536009528,115.539433523068,43.75,"1st",114.1,114.28,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.39861621338041,-3.05563705688044,-2.17379801108506,-2.13026476004826,"real",20.5,0.95,0.88,0.9,0.92,0.92,0.93,30
"53",2019-04-09 23:03:10,"M.keaysi","002","2","3","1","2019-04-09_002","M.keaysi","M","20","4",19.9,98.9,344.8,3.7413,3.7329,0.11,2.87,1.1,0.11,2.87,1.1,23.83,3.62,3.3,2,1.4,110.25,97.53,81.56,81.56,66.5,67.25,60.85,63,57250,58500,105000,101500,99.3,99.3,92.9,93.9,28.89,29.62,112.9,113.9,115.91029995664,115.361280356782,43,"1st",111.775,112.85,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-2.60169885338817,-3.05563705688044,-2.1190851979388,-2.13026476004826,"real",20.0769230769231,0.95,0.94,0.94,0.98,0.9,0.94,30
"59",2019-04-09 23:03:10,"M.keaysi","002","2","4","1","2019-04-09_002","M.keaysi","M","20","4",19.9,98.9,344.8,0.1131,0.1051,0.17,2.75,1.29,0.17,2.75,1.29,10.61,3.67,3.6,2.2,1.5,112.65,97.93,82.17,82.17,66.5,67.5,60.23,62.77,56750,58250,106000,101500,99.8,99.8,93.3,94.6,28.89,29.62,113.3,114.6,116.724226808222,116.360912590557,43.25,"1st",111.975,113.55,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-2.61559039905365,-3.05563705688044,-2.10542974393608,-2.13026476004826,"real",19.6538461538462,0.95,0.98,0.97,0.98,0.93,0.96,30
"66",2019-04-09 23:03:30,"M.keaysi","002","4","1","1","2019-04-09_002","M.keaysi","M","20","3",19.9,98.9,344.8,4.3297,4.3239,0.23,1.96,0.84,0.23,1.96,0.84,22.52,3.69,3.4,2.1,1.5,116.75,99.42,80.43,80.43,80.75,80.75,60.5,63.03,57000,58750,113500,103250,102.6,102.6,95.7,96.8,23.62,24.6,115.7,116.8,118.922192947339,118.560912590557,44.5,"1st",116.2,116.56,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.35646684140033,-3.05563705688044,-2.13274994106902,-2.13026476004826,"real",19.6538461538462,0.95,1.01,1,0.92,1.02,0.96,30
"69",2019-04-09 23:03:30,"M.keaysi","002","4","2","1","2019-04-09_002","M.keaysi","M","20","3",19.9,98.9,344.8,7.4562,7.4509,0.25,1.81,1.04,0.25,1.81,1.04,26.48,4,3.61,2.4,1.7,112.23,97.5,80.93,80.93,64,80.25,59.26,60.25,54500,55750,105000,101500,100.9,100.9,93.7,94.6,23.62,24.6,113.7,114.6,117.502112417116,116.904489213783,45.75,"1st",114.45,114.54,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.32837860170333,-3.05563705688044,-1.96943055062806,-2.13026476004826,"real",18.8076923076923,0.95,0.96,0.91,0.93,0.93,1,30
"73",2019-04-09 23:03:30,"M.keaysi","002","4","3","1","2019-04-09_002","M.keaysi","M","20","3",19.9,98.9,344.8,0.924,0.9161,0.11,2.7,0.97,0.11,2.7,0.97,21.88,4.36,4.11,2.1,1.4,114.86,99.06,81.5,81.5,81,81,61.25,63.54,57500,59250,111250,103000,100.9,100.9,93.9,95,23.62,24.6,113.9,115,117.122192947339,116.461280356782,43.75,"1st",114.1,114.64,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.37051436088144,-3.05563705688044,-2.16010653376346,-2.13026476004826,"real",20.0769230769231,0.95,0.92,0.92,0.92,0.95,0.94,30
"78",2019-04-09 23:14:19,"M.riparius","003","3","1","1","2019-04-09_003","M.riparius","M","20","2",20.3,99,345,7.4434,7.4379,0.92,1.64,1.48,0.92,1.64,1.48,23.45,4.2,3.91,2.6,2,118.17,105.5,96.25,96.25,81.75,82.25,60.68,80.56,59250,60250,115500,106000,105.5,105.5,98.9,99.6,19.29,20.41,118.9,119.6,123.049733479708,122.61029995664,45.75,"1st",118.8,119.28,"Si",1.59,81.775,59975,95.52,-3.45791299963007,-3.43073589002767,-2.21341075194505,-2.19814729627221,"real",18.4528301886792,0.94,1.18,1.11,0.94,1.11,1,30
"82",2019-04-09 23:14:19,"M.riparius","003","3","2","1","2019-04-09_003","M.riparius","M","20","2",20.3,99,345,3.5616,3.5543,0.99,2.25,1.7,0.99,2.25,1.7,23.53,3.48,3.2,2.3,1.5,115.89,101.35,95.6,95.6,82.25,82.25,61.65,65.24,59250,62750,114000,104500,104.3,104.3,97.7,98.9,19.29,20.41,117.7,118.9,121.317278360176,120.660912590557,41.75,"1st",117.9,118.5,"Si",1.59,81.775,59975,95.52,-3.45791299963007,-3.43073589002767,-2.35267202381962,-2.19814729627221,"real",20.3396226415094,0.94,1.06,1.08,0.94,1.08,0.93,30
"87",2019-04-09 23:15:44,"M.riparius","003","6","1","1","2019-04-09_003","M.riparius","M","20","1",20.3,99,345,7.7471,7.7416,0.39,1.7,1.85,0.39,1.7,1.85,37.26,3.28,2.61,2.1,1.5,114.6,101.21,83.14,83.14,83.5,83.5,61,63.32,57500,60500,113500,104250,98.9,98.9,91.2,92.3,23.84,25.46,111.2,112.3,114.422192947339,114.060912590557,43.75,"1st",111.9,112.14,"Si",1.59,81.775,59975,95.52,-3.52947880745482,-3.43073589002767,-2.22729668114531,-2.19814729627221,"real",20.3396226415094,0.94,0.8,0.81,0.93,0.82,0.93,30
"89",2019-04-09 23:15:55,"M.riparius","003","7","1","1","2019-04-09_003","M.riparius","M","20","2",20.3,99,345,1.3861,1.3817,0.29,1.4,1.73,0.29,1.4,1.73,37.9,3.18,2.51,2.3,1.8,117.9,106.7,82.71,82.71,83.25,83.25,60.02,61.77,56000,57500,117250,107250,102.2,102.2,94.8,95.4,19.84,20.28,114.8,115.4,118.417278360176,117.952725051033,49.75,"1st",113.15,114.5,"Si",1.59,81.775,59975,95.52,-3.51516018403137,-3.43073589002767,-2.06133958539883,-2.19814729627221,"real",19.2075471698113,0.94,0.96,0.93,0.93,0.94,0.97,30
"95",2019-04-09 23:15:55,"M.riparius","003","7","2","1","2019-04-09_003","M.riparius","M","20","2",20.3,99,345,6.2687,6.2651,0.41,1.15,1.46,0.41,1.15,1.46,49.88,3.48,2.23,1.8,1.4,111.75,100.5,83.01,83.01,83.25,83.25,61.99,66.01,60500,63250,106750,103000,103.6,103.6,95.6,96.5,19.84,20.28,115.6,116.5,118.152725051033,117.961280356782,39.75,"1st",114.95,115.85,"Si",1.59,81.775,59975,95.52,-3.51516018403137,-3.43073589002767,-2.38062418946981,-2.19814729627221,"real",20.7169811320755,0.94,0.94,0.97,0.93,0.98,0.91,30
"98",2019-04-09 23:16:16,"M.riparius","003","9","1","1","2019-04-09_003","M.riparius","M","20","2",20.3,99,345,1.5249,1.5181,0.44,2.29,1.47,0.44,2.29,1.47,22.63,3.27,3,2.3,1.7,116.7,101.42,82.7,82.7,83,83,60,62.77,57000,59000,114000,104000,101.1,101.1,94.1,94.9,29.01,29.69,114.1,114.9,117.717278360176,117.204489213783,45,"1st",113.7,114.4,"Si",1.59,81.775,59975,95.52,-3.50084429319169,-3.43073589002767,-2.14412846641507,-2.19814729627221,"real",19.5849056603774,0.94,0.93,0.91,0.94,0.92,0.96,30
"103",2019-04-09 23:16:16,"M.riparius","003","9","2","1","2019-04-09_003","M.riparius","M","20","2",20.3,99,345,5.5416,5.5348,0.36,2.31,1.09,0.36,2.31,1.09,21.98,3.87,3.6,2.3,1.6,116.57,101.43,82.38,82.38,82.75,82.75,60.35,63.5,57250,59250,115000,105000,101.6,101.6,95.1,96.1,29.01,29.69,115.1,116.1,118.717278360176,118.141199826559,45.75,"1st",115,115.66,"Si",1.59,81.775,59975,95.52,-3.48653113273502,-3.43073589002767,-2.15796464565572,-2.19814729627221,"real",19.9622641509434,0.94,0.96,0.96,0.94,0.96,0.94,30
"110",2019-04-09 23:16:27,"M.riparius","003","10","1","1","2019-04-09_003","M.riparius","M","20","3",20.3,99,345,2.0249,2.019,0.19,2.01,1.13,0.19,2.01,1.13,30.89,3.72,3.21,2.2,1.5,112.77,98.79,81.93,81.93,82,82,59.97,62.5,57000,59000,109000,102750,100.3,100.3,93.5,94.5,30.8,32,113.5,114.5,116.924226808222,116.260912590557,43.75,"1st",113.4,114.06,"Si",1.59,81.775,59975,95.52,-3.44360802809288,-3.43073589002767,-2.14412846641507,-2.19814729627221,"real",20.3396226415094,0.94,0.89,0.9,0.94,0.9,0.93,30
"113",2019-04-09 23:16:27,"M.riparius","003","10","2","1","2019-04-09_003","M.riparius","M","20","3",20.3,99,345,5.9352,5.9288,0.39,2.16,0.96,0.39,2.16,0.96,42.82,3.43,2.51,1.9,1.4,114.85,99.8,96.31,96.31,73,73,60.03,63,57000,58750,113250,104500,97.4,97.4,91.6,92.5,30.8,32,111.6,112.5,114.387536009528,113.961280356782,45.75,"1st",111.1,112.38,"Si",1.59,81.775,59975,95.52,-2.93056102640853,-3.43073589002767,-2.13030281494942,-2.19814729627221,"real",20.7169811320755,0.94,0.83,0.86,0.98,0.83,0.91,30
"122",2019-04-09 23:16:27,"M.riparius","003","10","3","1","2019-04-09_003","M.riparius","M","20","3",20.3,99,345,10.1398,10.1341,0.33,1.91,0.88,0.33,1.91,0.88,36.22,3.36,2.71,2.2,1.5,115.8,100.25,82.4,82.4,82.5,82.5,60,63.5,57000,59500,114500,104250,99.8,99.8,93.3,94.5,30.8,32,113.3,114.5,116.724226808222,116.260912590557,44.75,"1st",114.425,114.47,"Si",1.59,81.775,59975,95.52,-3.47222070154974,-3.43073589002767,-2.17181115588833,-2.19814729627221,"real",20.3396226415094,0.94,0.89,0.9,0.94,0.9,0.93,30
"130",2019-04-09 23:22:12,"M.elegans","004","1","1","1","2019-04-09_004","M.group","M","20","2",20.3,99.4,345,0.6469,0.6432,0.95,0.87,1.22,0.95,0.87,1.22,47.04,2.96,2.02,2.3,1.7,113.92,99.45,81.05,81.05,81,81,59,61.09,55250,57250,110250,103750,104.1,104.1,97.1,98.2,24.13,25.73,117.1,118.2,120.717278360176,120.504489213783,46.5,"1st",117.15,117.72,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-3.3862255647191,-3.08294599173235,-2.04531790209392,-2.1188920596721,"real",20,1,1.06,1.06,0.98,1.08,1,30
"131",2019-04-09 23:22:12,"M.elegans","004","1","2","1","2019-04-09_004","M.group","M","20","2",20.3,99.4,345,7.8603,7.8523,-0.01,2.7,1.62,-0.01,2.7,1.62,11.85,3.47,3.4,2.4,1.8,112.25,99.3,82.6,82.6,82.75,82.75,60.5,61.5,55750,57250,108000,103000,103.5,103.5,96,96.8,24.13,25.73,116,116.8,119.802112417116,119.352725051033,45.75,"1st",114.9,116.04,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-3.48655053705766,-3.08294599173235,-2.04531790209392,-2.1188920596721,"real",19.6470588235294,1,1,0.99,0.97,1.02,1.02,30
"136",2019-04-09 23:22:23,"M.elegans","004","2","1","1","2019-04-09_004","M.group","M","20","2",20.3,99.4,345,1.7529,1.7465,0.02,2.2,1.34,0.02,2.2,1.34,19.24,3.07,2.9,2.3,1.7,108.89,97.15,73.25,73.25,73.75,73.75,60.77,61.75,56000,57250,104500,101250,97.6,97.6,91.1,92,31.5,32.66,111.1,112,114.717278360176,114.304489213783,44,"1st",111.9,111.96,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-2.97216062220397,-3.08294599173235,-2.04531790209392,-2.1188920596721,"real",20,1,0.84,0.84,1.01,0.83,1,30
"143",2019-04-09 23:22:23,"M.elegans","004","2","2","1","2019-04-09_004","M.group","M","20","2",20.3,99.4,345,5.9082,5.902,0.07,2.15,1.25,0.07,2.15,1.25,23.11,3.31,3,2.5,1.8,114.25,99.25,82,82,74.75,74.75,60.24,62.03,56000,57500,111000,103500,101.8,101.8,95.3,96.3,31.5,32.66,115.3,116.3,119.27940008672,118.852725051033,46,"1st",115.1,115.82,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-3.02910927999884,-3.08294599173235,-2.05908746117879,-2.1188920596721,"real",19.6470588235294,1,1.02,1.01,1.01,1,1.02,30
"147",2019-04-09 23:22:32,"M.elegans","004","3","1","1","2019-04-09_004","M.group","M","20","1",20.5,99.3,345.2,0.9399,0.9327,0.07,2.48,1.25,0.07,2.48,1.25,0,3.51,3.47,2.6,1.9,119.5,107.1,96.5,96.5,74.25,74.25,60,62.66,56500,58500,120500,107500,104.3,104.3,97.9,98.8,24.01,24.99,117.9,118.8,122.049733479708,121.587536009528,49,"1st",117.9,118.62,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-3.00507018606672,-3.08797670116778,-2.11337516465933,-2.11800500280732,"real",19.2941176470588,1,1.15,1.12,1.01,1.11,1.03,30
"154",2019-04-09 23:24:10,"M.elegans","004","4","1","1","2019-04-09_004","M.group","M","20","1",20.4,99.2,345.1,4.857,4.8511,0.17,2.04,1.09,0.17,2.04,1.09,8.46,3.76,3.7,2.7,1.9,119.09,105.71,96.55,96.55,74.5,74.5,60.52,63.09,56750,58750,117500,106500,104.7,104.7,98.4,99.5,23.58,24.43,118.4,119.5,122.71363764159,122.287536009528,47.75,"1st",118.8,119.22,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-3.01754691933845,-3.08582353260813,-2.12855218060119,-2.11931343063154,"real",19.2941176470588,1,1.19,1.15,1.01,1.14,1.03,30
"163",2019-04-09 23:24:21,"M.elegans","004","5","1","1","2019-04-09_004","M.group","M","20","1",20.4,99.2,345.1,8.2029,8.1998,0.9,0.52,0.93,0.9,0.52,0.93,57.8,2.87,1.53,2,1.4,116,100.85,96.11,96.11,96.5,81.5,61.24,64.75,58500,61250,113500,104750,98.3,98.3,91.6,92.8,34.39,34.96,111.6,112.8,114.61029995664,114.261280356782,43.5,"1st",112.1,112.65,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-3.41874692062755,-3.08582353260813,-2.26770118215766,-2.11931343063154,"real",21.0588235294118,1,0.8,0.84,0.97,0.86,0.96,30
"164",2019-04-09 23:24:31,"M.elegans","004","6","1","1","2019-04-09_004","M.group","M","20","2",20.3,99.5,345,1.9915,1.9834,1.18,2.53,1,1.18,2.53,1,9.31,3.95,3.9,2.1,1.5,119.65,105.34,95.93,95.93,71.5,71.5,60.96,64.29,58250,61250,117000,106000,103.4,103.4,97.2,98.3,25.18,25.73,117.2,118.3,120.422192947339,120.060912590557,44.75,"1st",116.95,117.76,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-2.84393934530053,-3.08274247347193,-2.26644624509542,-2.11834003653938,"real",20.7058823529412,1,1.08,1.11,1.02,1.09,0.97,30
"171",2019-04-09 23:24:31,"M.elegans","004","6","2","1","2019-04-09_004","M.group","M","20","2",20.3,99.5,345,6.7743,6.7698,0.05,1.51,1.01,0.05,1.51,1.01,21.67,3.5,3.21,2.3,1.6,112.6,98.55,80.8,80.8,66.5,67.25,60.25,62.53,56500,58250,105750,102250,99.1,99.1,92.9,94,25.18,25.73,112.9,114,116.517278360176,116.041199826559,44,"1st",112.55,113.3,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-2.60322951519387,-3.08274247347193,-2.09991146006678,-2.11834003653938,"real",20.3529411764706,1,0.93,0.94,1.04,0.91,0.99,30
"175",2019-04-09 23:28:03,"M.keaysi","005","1","1","1","2019-04-09_005","M.keaysi","H","20","1",20.4,99.8,345.1,1.7843,1.777,0.47,2.48,1.38,0.47,2.48,1.38,33.29,4.04,3.41,2.6,1.8,118.36,99.5,82.15,82.15,66,66.75,63,64,58000,58500,107000,103500,101.8,101.8,95.5,96.6,18.74,19.69,115.5,116.6,119.649733479708,119.152725051033,45,"1st",115.05,115.9,"Si",1.36666666666667,72.4166666666667,62000,95.1333333333333,-2.57433081887996,-2.89684372412521,-2.11131863468858,-2.30654909497985,"real",18.0975609756098,0.97,1.15,1.06,0.99,1.03,1.05,30
"181",2019-04-09 23:28:36,"M.keaysi","005","4","1","1","2019-04-09_005","M.keaysi","H","20","1",20.5,99.6,345.2,5.9476,5.9415,0.95,1.89,0.94,0.95,1.89,0.94,14.54,3.04,3,1.2,0.8,102.25,96.33,81.92,81.92,82.25,82.25,67.23,72.3,66750,68250,102250,99250,101.3,101.3,94.1,95.1,14.96,15.95,114.1,115.1,114.891812460476,114.130899869919,31,"1st",114.7,114.94,"Si",1.36666666666667,72.4166666666667,62000,95.1333333333333,-3.46555003986622,-2.89908498073753,-2.66103196332201,-2.30730395472854,"real",22.4878048780488,0.97,0.83,0.92,0.92,0.97,0.87,30
"182",2019-04-09 23:28:58,"M.keaysi","005","6","1","1","2019-04-09_005","M.keaysi","H","20","1",20.5,99.6,345.2,3.7808,3.7733,0.43,2.41,1.93,0.43,2.41,1.93,39.47,2.73,2.11,2,1.5,115.93,101.8,82.31,82.31,67,68.25,62.97,64.5,58500,59250,113250,105000,99.5,99.5,92.8,93.7,29.73,31.02,112.8,113.7,115.81029995664,115.460912590557,45.75,"1st",112.05,113.04,"Si",1.36666666666667,72.4166666666667,62000,95.1333333333333,-2.66103196332201,-2.89908498073753,-2.15340198399759,-2.30730395472854,"real",19.4146341463415,0.97,0.95,0.93,0.99,0.91,0.99,30
"186",2019-04-09 23:59:02,"M.oxyotus","001","2","1","2","2019-04-09_008","M.oxyotus","H","22","1",21.9,100,346,1.7164,1.7105,0.62,1.79,1.92,0.62,1.79,1.92,39.58,4.04,3.12,3,2.2,93.56,83.06,73.4,73.4,54,54.5,49.49,51,45750,46500,111500,112000,92.4,92.4,86.3,87.3,9.89,9.96,106.3,107.3,111.071212547197,110.724226808222,65.5,"1st",102.3,105.3,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.86568678231859,-1.83776332363778,-1.43126911855078,-1.39952451049183,"real",18.2352941176471,0.74,0.79,0.73,0.74,0.73,0.81,30
"192",2019-04-10 00:00:00,"M.oxyotus","001","3","1","2","2019-04-09_008","M.oxyotus","H","22","2",21.8,100,346,2.7233,2.7179,-0.43,1.47,2.17,-0.43,1.47,2.17,23.14,3,2.8,2.6,1.9,91.57,83.2,54.52,54.52,54,54.25,49.27,51.02,45750,46500,115000,115250,92.5,92.5,85.9,86.7,17.76,18.22,105.9,106.7,110.049733479708,109.487536009528,68.75,"1st",105.275,106.13,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.85363478899708,-1.83970145878465,-1.43352127175326,-1.4017853353941,"real",19.2941176470588,0.74,0.73,0.71,0.74,0.71,0.77,30
